Sr. No,Site Code,Site Name,Cells,New MBU,DG Rating,OMO Host Name,Host ID,January TDT,January NAR,February TDT,February NAR,March TDT,March NAR,April TDT,April NAR,May TDT,May NAR,June TDT,June NAR,July TDT,July NAR,August TDT,August NAR,September TDT,September NAR,October TDT,October NAR,Nov TDT,Nov NAR,Dec TDT,Dec NAR,Jan 2026 TDT,Jan NAR,Feb 2026 TDT,Feb NAR,Mar 2026 TDT,Mar NAR,April 2026 TDT,April NAR,May 2026 TDT,May NAR,June 2026 TDT,June NAR 2026,Jul 2026 TDT,Jul NAR 2026
1,RUR0805,RUR0805_Cheelian_WallNEW,3,C4-MBD-08,,UFONE,3662,12466.149999999998,0.9038105709876544,11027.283333333335,0.9149129372427984,12745.199999999997,0.9016574074074074,13815.333333333334,0.8934002057613167,25365.366666666665,0.8042795781893004,15215.383333333333,0.8825973508230454,22647.416666666668,0.8252514146090535,14928.183333321844,0.8885290969734032,19121.433333333338,0.8524580761316872,7980.283333333332,0.9384237397119342,11818.250000000002,0.8986775548696845,7365.450000000001,0.9450011200716846,1273.5,0.9904905913978495,41.00000000000001,0.9996610449735449,370.81666666666666,0.9972310583432895,4154.133333333333,0.9679465020576131,13104.016666666668,0.9021504131819992,979.7500000000001,0.9924402006172839,797.6666666666666,0.9940437076861808
2,RUR5148,RUR5148__S_Lapaywali Warid_MR2B3708,3,C4-NRW-05,,GLO,,0,1,0,1,6.416666666666667,0.9999504886831275,901.5,0.9930439814814815,1393.0333333333333,0.9892512860082304,0,1,198.49999999999997,0.9984683641975309,3562.116666666667,0.9734011598964556,0,1,6179.2333333333345,0.9523207304526748,0,1,0,1,0,1,0,1,476.7500000000001,0.9964400388291517,1256.983333333333,0.990301054526749,0,1,0,1,8822.349999999999,0.9341222371565113
3,RUR1769,RUR1769__Sohawa,3,C4-GUJ-01,,Telenor,LSA001,11478.033333333335,0.9114349279835391,5088.183333333333,0.9607393261316872,4859.083333333333,0.9625070730452674,3240.116666666667,0.9749990997942386,12293.683333333334,0.9051413323045268,2039.7,0.984261574074074,5974.7,0.9538989197530864,3578.5,0.9732788231780166,9182.033333333335,0.9291509773662551,4707.4,0.9636774691358024,3176.05,0.9727704903978052,3506.5,0.9738164575866189,6941.6,0.9481660692951016,2003.0166666666667,0.9834406690917108,5202.916666666667,0.9611490690959776,6745.450000000001,0.947951774691358,13582.833333333332,0.8985750199123855,19831.83333333333,0.8469765946502058,37278.9,0.721633064516129
4,RUR9503,RUR9503__S_Village Khana Bhattian_1M3552,3,C4-HFZ-06,,,,11225.016666666661,0.9133872170781894,14733.700000000003,0.8863140432098766,13456.966666666667,0.8961653806584363,12683.399999999996,0.9021342592592593,22042.18333333333,0.8299214248971194,12367.766666666666,0.9045697016460906,25886.43333333333,0.8002590020576131,25526.14999996313,0.8093925477900005,14166.649999999998,0.8906894290123456,6036.833333333332,0.9534194958847736,11261.183333333332,0.9034535036579789,15374.56666666667,0.8851958880923934,17429.483333333334,0.8698515282755875,0,1,1697.0333333333335,0.987328006770211,690.3333333333333,0.994673353909465,1366.8000000000002,0.9897939068100358,370.1666666666667,0.9971437757201645,3660.8833333302287,0.9726636549183825
5,DNG5811,DNG5811 LTE_DNG5811_H_Lalamusa Dinga Road Dhndhala Gujrat,3,C4-MBD-08,,Enfrashare,EC1-GUT-06151,787.3999999999997,0.9939243827160494,0,1,0,1,0,1,1090,0.9915895061728395,63.500000000000014,0.9995100308641974,7.250000000000001,0.9999440586419753,64.25000000000001,0.9995202359617682,901.7833333333333,0.9930417952674897,1240.1999999999998,0.9904305555555556,3178.0999999999995,0.972752914951989,0,1,953.6833333333337,0.9928787086818001,7.416666666666667,0.9999386849647266,0,1,656.5000000000001,0.9949344135802469,4498.933333333335,0.966405814416567,1001.4500000000002,0.992272762345679,1104.4499999999998,0.99175291218638
6,RUR0712,RUR0712__WadalaSandhuan_NEW,3,C4-NRW-05,,UFONE,3532,997.3333333333334,0.9923045267489712,3673.9500000000007,0.9716516203703703,0,1,427.2500000000001,0.9967033179012346,8250.766666666665,0.9363366769547325,596.6666666666667,0.9953960905349795,6042.616666666668,0.953374871399177,0,1,1981.75,0.9847087191358025,0,1,747.7499999999999,0.9935892489711934,129.16666666666666,0.9990354938271605,11247.833333333334,0.9160108024691358,143.83333333333334,0.998810901675485,0,1,247.08333333333334,0.9980934927983539,49.15000000000001,0.9996329898446834,625.9166666666667,0.9951703960905349,2525.5,0.9811417264038232
7,RUR2262,RUR2262__S_MianwaliPind_TPLKMR02,3,C4-HFZ-06,,Telenor,LKMR02,320.4666666666667,0.9975272633744856,5058.833333333334,0.9609657921810699,447.4166666666668,0.9965477109053498,149.91666666666666,0.9988432355967077,2031.3666666666668,0.9843258744855967,522.5833333333335,0.9959677211934157,491.25000000000006,0.9962094907407407,14072.883333333333,0.8949157457188371,1276.75,0.9901485339506173,327.75,0.9974710648148148,1935.0833333333333,0.9834097793781436,341.5,0.9974499701314217,6570.683333333334,0.9509357576662684,0,1,234.08333333333337,0.998252065909996,3966.8166666666666,0.969391846707819,3214.716666666667,0.9759952459179609,4771.6,0.963182098765432,2920.7,0.9781907108721625
8,HWY5602,HWY5602_H_Village Chechian PO Dittewal Teh and Chechian Gujrat,3,C4-GRT-04,,Telenor,LCQ001_TP,0,1,11.75,0.999909336419753,517.5833333333335,0.9960063014403292,1448.2333333333333,0.9888253600823045,5117.9833333333345,0.9605093878600823,1638.25,0.9873591820987655,0,1,1456.7500000016298,0.9891222371564992,3481.8333333333344,0.9731340020576131,120.75,0.9990682870370371,1092.4,0.9906344307270233,0,1,670.4166666666667,0.9949939018319395,168.75,0.9986049107142857,0,1,1355.4166666666665,0.9895415380658436,2361.55,0.9823659647550776,25.5,0.9998032407407408,18.083333333333332,0.9998649691358026
9,HWY1485,HWY1485__S_MungawalaWarid_25413,3,C4-HFZ-06,,CMPak,6728,2141.916666666667,0.9834728652263374,1490.4833333333331,0.9884993569958848,12314.333333333338,0.9049819958847736,56263.64999999998,0.5658668981481483,119670.46666666663,0.07661676954732542,91833.79999999997,0.29140586419753106,89175.61666666664,0.31191653806584385,93624.26666664502,0.3008940661092814,93283.36666666664,0.2802209362139919,32729.61666666666,0.7474566615226338,17669.366666666672,0.8485136602652034,7916.883333333335,0.9408834876543211,27280.550000000003,0.7962921893667861,4887.066666666667,0.9595976631393297,17435.36666666667,0.8698075965750697,32465.433333333334,0.7494951131687243,19750.33333333333,0.8525214058144166,20785.700000000004,0.8396165123456789,28654.416666698413,0.786033328355
10,BGA6986,BGA6986__MajhiMalakwal,3,C4-MBD-08,,GLO,,0,1,3201.7000000000003,0.975295524691358,2162.7833333333333,0.9833118569958847,0,1,4067.783333333333,0.9686127829218107,680.2333333333333,0.9947512860082304,2259.8,0.9825632716049383,2446.0333333507956,0.9817351154917056,702.25,0.9945814043209876,1102.9666666666667,0.9914894547325104,301.54999999999995,0.99741469478738,0,1,808.6666666666666,0.9939615690959777,0,1,11.25,0.9999159946236559,2744.983333333333,0.9788195730452675,4381.916666666667,0.967279594782955,2028.7166666666667,0.984346322016461,2659.7333333333336,0.9801393866985265
