SiteCode,Site Name,NoofCells,(2G/3G),Priority,Type,Category,MBU#,OMO Colocation,OMO host name ,DG site,2026-08-01 00:00:00,2026-08-02 00:00:00,2026-08-03 00:00:00,2026-08-04 00:00:00,2026-08-05 00:00:00,2026-08-06 00:00:00,2026-08-07 00:00:00,2026-08-08 00:00:00,2026-08-09 00:00:00,2026-08-10 00:00:00,2026-08-11 00:00:00,2026-08-12 00:00:00,2026-08-13 00:00:00,2026-08-14 00:00:00,2026-08-15 00:00:00,2026-08-16 00:00:00,2026-08-17 00:00:00,2026-08-18 00:00:00,2026-08-19 00:00:00,2026-08-20 00:00:00,2026-08-21 00:00:00,2026-08-22 00:00:00,2026-08-23 00:00:00,2026-08-24 00:00:00,2026-08-25 00:00:00,2026-08-26 00:00:00,2026-08-27 00:00:00,2026-08-28 00:00:00,2026-08-29 00:00:00,2026-08-30 00:00:00,2026-08-31 00:00:00,Frequency,4G NAR
JPJ5679,JPJ5679__S_QamarAbadRd,12,2G/3G/LTE,General,Macro,OMO,C4-GRT-04,Jazz Guest/CM-PAK Host,CM-PAK ,Non DG Site,100,100,100,100,100,100,99.998070987654,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,1,99.99990354938271
KHR1735,KHR1735__S_KharianCantt,9,2G/3G/LTE,Bronze,Macro,Standby,C4-MBD-08,DEODAR,DEODAR,DG site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94.791023662551,100,99.768518518518,97.554012345679,,,,,,,,,,,,3,99.6056777263374
KHR0035,KHR0035__S_Pind _Paira _Cantt_MDKN3306,9,2G/3G/LTE,Bronze,Macro,Standby,C4-MBD-08,DEODAR,DEODAR,DG site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.786265432098,100,99.776234567901,97.897376543209,,,,,,,,,,,,3,99.7229938271604
KHR1736,KHR1736__S_Panjwari,9,2G/3G/LTE,Gold,Macro,Deodar CP Prime,C4-MBD-08,DEODAR,DEODAR,Non DG Site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.805555555555,100,99.776234567901,97.61574074074,,,,,,,,,,,,3,99.70987654320979
KHR1734,KHR1734__S_NorthColony,9,2G/3G/LTE,Gold,Macro,Standby,C4-MBD-08,DEODAR,DEODAR,DG site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.83320473251,100,99.780092592592,97.780349794238,,,,,,,,,,,,3,99.719682355967
KHR0079,KHR0079__S_KharianCantt2,9,2G/3G/LTE,Bronze,Macro,OMO,C4-MBD-08,Jazz Guest/CM-PAK Host,CM-PAK ,Non DG Site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,60.665509259259,100,99.772376543209,92.917952674897,,,,,,,,,,,,3,97.66779192386824
WZB9816,WZB9816__P_MohahlaAllbad,16,2G/3G/LTE,Elite,Macro,Standby,C4-WZD-07,DEODAR,DEODAR,DG site,100,100,100,100,95.224971064814,88.647641782407,100,98.096064814814,100,100,100,98.263888888888,99.854239004629,100,95.775101273148,99.337384259259,100,99.018012152777,100,89.551142939814,,,,,,,,,,,,9,98.1884223090275
KRW8774,KRW8774__S_TandaKarianWalaRd,9,2G/3G/LTE,Platinum,Macro,Standby,C4-GRT-04,DEODAR,DEODAR,DG site,100,100,100,100,81.148405349794,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,1,99.0574202674897
GUJ3541,GUJ3541__S_AritilleryMosque,9,2G/3G/LTE,Gold,Macro,Standby,C4-GUJ-02,DEODAR,DEODAR,DG site,97.184284979423,100,99.596836419753,100,100,100,100,90.947145061728,100,100,100,100,100,99.452160493827,100,100,100,100,100,100,,,,,,,,,,,,4,99.35902134773656
RUR3263,RUR3263__S_MehtaSuja_TPLMS001,6,2G/LTE,Gold,Macro,OMO,C4-NRW-05,Jazz Guest/TELENOR Host,TELENOR,Non DG Site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.244791666666,100,,,,,,,,,,,,1,99.9622395833333
