SiteCode,Site Name,NoofCells,(2G/3G),Priority,Type,Category,MBU#,OMO Colocation,OMO host name ,,2026-01-01 00:00:00,2026-02-01 00:00:00,2026-03-01 00:00:00,2026-04-01 00:00:00,2026-05-01 00:00:00,2026-06-01 00:00:00,2026-07-01 00:00:00
JPJ5679,JPJ5679__S_QamarAbadRd,12,2G/3G/LTE,General,Macro,OMO,C4-GRT-04,Jazz Guest/CM-PAK Host,CM-PAK ,Non DG Site,97.83051448626038,99.74264908509697,99.97042699621635,99.4850823045267,99.88777503982475,98.85590277777767,99.99929995519706
KHR1735,KHR1735__S_KharianCantt,9,2G/3G/LTE,Bronze,Macro,Standby,C4-MBD-08,DEODAR,DEODAR,DG site,99.64769597106064,99.96238425925922,99.78312093455455,99.62658607681755,99.83366935483868,100,99.71902794371422
KHR0035,KHR0035__S_Pind _Paira _Cantt_MDKN3306,9,2G/3G/LTE,Bronze,Macro,Standby,C4-MBD-08,DEODAR,DEODAR,DG site,99.91960374352846,99.93124448853614,100,99.30962791495185,99.3318564980751,99.33082561728389,99.53098035311295
KHR1736,KHR1736__S_Panjwari,9,2G/3G/LTE,Gold,Macro,CP Prime,C4-MBD-08,DEODAR,DEODAR,Non DG Site,99.9791542214257,99.84120094797171,100,99.84786522633743,99.99906660692947,100,98.38440030532317
KHR1734,KHR1734__S_NorthColony,9,2G/3G/LTE,Gold,Macro,Standby,C4-MBD-08,DEODAR,DEODAR,DG site,99.9800876144962,97.24105305702514,100,99.8480366941015,99.99937773795301,100,99.85055339838041
KHR0079,KHR0079__S_KharianCantt2,9,2G/3G/LTE,Bronze,Macro,OMO,C4-MBD-08,Jazz Guest/CM-PAK Host,CM-PAK ,Non DG Site,95.76264436479477,99.00148350235149,99.99970961104471,99.59293552812066,97.87205047789722,97.4251971879286,95.83378965883439
WZB9816,WZB9816__P_MohahlaAllbad,16,2G/3G/LTE,Elite,Macro,Standby,C4-WZD-07,DEODAR,DEODAR,DG site,98.004020590651,98.90925977595884,99.71666853345273,98.24619020061715,97.8552260678015,98.41986159336412,98.32507280465921
KRW8774,KRW8774__S_TandaKarianWalaRd,9,2G/3G/LTE,Platinum,Macro,Standby,C4-GRT-04,DEODAR,DEODAR,DG site,98.38829981415103,99.92157646237503,100,99.7609310699588,99.49963908801274,99.70779749657065,96.99186081242527
GUJ3541,GUJ3541__S_AritilleryMosque,9,2G/3G/LTE,Gold,Macro,Standby,C4-GUJ-02,DEODAR,DEODAR,DG site,99.41774940262839,99.82834086566719,99.59445108190621,99.56820130315496,99.79732925129426,99.0746527777777,99.14965817071547
RUR3263,RUR3263__S_MehtaSuja_TPLMS001,6,2G/LTE,Gold,Macro,OMO,C4-NRW-05,Jazz Guest/TELENOR Host,TELENOR,Non DG Site,95.3499290621264,94.263771770282,67.85176473516488,84.34188528806531,78.76894787933057,83.70961934156334,94.18698352250087
GJR6250,GJR6250__S_Adil_Colony_Rehman_Shaheed Road_MDGU4253,9,2G/3G/LTE,Gold,Macro,Standby,C4-GRT-04,DEODAR,DEODAR,DG site,100,99.98374118165782,100,100,99.71728560998274,100,99.90958532457186
