Code,Vendor,BSC,Site,Sector,Occurring,Clearing,DT,SiteType,Priority,Type,Region,Sub-Region,Comm_Region,OSV,Proposed Region,Zone,MBU#,RBU,hour,minute,SiteCode,NoofCells,Outage Level,SITE,OCC,CLR,ALARM,Corelation Reason,Reason Category,Detailed Category,General,Reasons,Deodar/NonDeodar,,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC16522__S_NearSaidNagar,2026-08-01 00:00:00,2026-08-01 00:24:29,24.48333333333333,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,0,0,ALC6522,3,Site,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 00:00:00,2026-08-01 00:24:29,24.48333333333333,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,0,0,ALC6522,3,Site,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC26522__S_NearSaidNagar,2026-08-01 00:00:00,2026-08-01 00:24:29,24.48333333333333,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,0,0,ALC6522,3,Site,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 00:47:39,2026-08-01 00:58:39,11,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,0,47,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 01:35:44,2026-08-01 01:37:49,2.083333333333333,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,1,35,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 03:19:44,2026-08-01 03:35:29,15.75,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,3,19,ALC6522,3,Site,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC26522__S_NearSaidNagar,2026-08-01 03:19:44,2026-08-01 03:35:29,15.75,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,3,19,ALC6522,3,Site,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC16522__S_NearSaidNagar,2026-08-01 03:19:44,2026-08-01 03:35:29,15.75,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,3,19,ALC6522,3,Site,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 05:05:04,2026-08-01 05:15:59,10.91666666666667,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,5,5,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC16522__S_NearSaidNagar,2026-08-01 05:06:44,2026-08-01 05:27:34,20.83333333333333,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,5,6,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 05:17:49,2026-08-01 05:27:39,9.833333333333334,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,5,17,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC26522__S_NearSaidNagar,2026-08-01 05:17:49,2026-08-01 05:27:39,9.833333333333334,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,5,17,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 06:19:59,2026-08-01 06:30:59,11,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,6,19,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 06:37:24,2026-08-01 07:07:24,30,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,6,37,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC26522__S_NearSaidNagar,2026-08-01 07:03:29,2026-08-01 07:05:29,2,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,7,3,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
