MBU,C4-GUJ-01,C4-GUJ-02,C4-SKT-03,C4-GRT-04,C4-NRW-05,C4-HFZ-06,C4-WZD-07,C4-MBD-08,,
NAR,0.9736379492828755,0.9689434947768281,0.9770132438369898,0.9621844472911423,0.9815353821621912,0.9889932722308892,0.9560151331018518,0.980239115879548,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MBU,C4-GUJ-01,C4-GUJ-02,C4-SKT-03,C4-GRT-04,C4-NRW-05,C4-HFZ-06,C4-WZD-07,C4-MBD-08,,
DT,24409.15,20929.6,20787.38333333333,33652.816666666666,18373.03333333333,10159.649999999994,25335.283333333336,16134.36666666667,,
,,,,,,,,,,8991.183333333332
,,,,,,,,,,6790.750000000002
,,,,,,,,,,12036.566666666664
,,,,,,,,,,6670.583333333332
,,,,,,,,,,10938.800000000007
,,,,,,,,,,9879.966666666667
,,,,,,,,,,4642.466666666667
,,,,,,,,,,4380.383333333333
