Category, Elite Sites NAR,Total Sites,Category,Platinum Sites NAR,Total Sites
NAR,0.9820300286935219,321,NAR,0.983684614036779,300
OMO,0.9456039255401235,15,OMO,0.9790912780640185,27
B2S,0.9784866835921945,31,B2S,0.9689108742712621,62
C4-GUJ-01,0.97009882750496,70,C4-GUJ-01,0.9729168233989198,44
C4-GUJ-02,0.9821943504882396,58,C4-GUJ-02,0.981702021176269,27
C4-SKT-03,0.9805763627569483,58,C4-SKT-03,0.9787829861111111,48
C4-GRT-04,0.9895323490294023,19,C4-GRT-04,0.9924321922634797,49
C4-NRW-05,0.9877012690145501,35,C4-NRW-05,0.9872053925169157,52
C4-HFZ-06,0.9878815988297325,36,C4-HFZ-06,0.988933788258745,30
C4-WZD-07,0.9898416473765432,25,C4-WZD-07,0.980869491062243,30
C4-MBD-08,0.9901791063850309,20,C4-MBD-08,0.9875774932484568,20
,,,,,
Category, Elite Sites NAR,Platinum Sites NAR,,,
NAR,0.9820300286935219,0.983684614036779,,,
OMO,0.9456039255401235,0.9790912780640185,,,
B2S,0.9784866835921945,0.9689108742712621,,,
