Site Code,Site Name,Cells,New MBU,Priority,DG Rating,OMO,OMO Host Name,Host ID,2026-08-01 00:00:00,2026-08-02 00:00:00,2026-08-03 00:00:00,2026-08-04 00:00:00,2026-08-05 00:00:00,2026-08-06 00:00:00,2026-08-07 00:00:00,2026-08-08 00:00:00,2026-08-09 00:00:00,2026-08-10 00:00:00,2026-08-11 00:00:00,2026-08-12 00:00:00,2026-08-13 00:00:00,2026-08-14 00:00:00,2026-08-15 00:00:00,2026-08-16 00:00:00,2026-08-17 00:00:00,2026-08-18 00:00:00,2026-08-19 00:00:00,2026-08-20 00:00:00,2026-08-21 00:00:00,2026-08-22 00:00:00,2026-08-23 00:00:00,2026-08-24 00:00:00,2026-08-25 00:00:00,2026-08-26 00:00:00,2026-08-27 00:00:00,2026-08-28 00:00:00,2026-08-29 00:00:00,2026-08-30 00:00:00,2026-08-31 00:00:00,TDT,T-Fuel,Occurrence ,Total NAR,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th,26th,27th,28th,29th,30th,31st,Fuel Total,MBU,OMO Host Name,Host ID,Type
KMK5618,KMK5618__S_PakTown_CMPak40683,3,C4-GUJ-01,Elite,,OMO,CMPak,Zong | 40683,,53.41666666666666,45.33333333333333,135,,,105.41666666666667,156.75,,68.58333333333331,85.16666666666667,,567.15,,,160.33333333333331,,389.9,2885.6166666666663,537,,,,,,,,,,,,5189.666666666666,,12,0.939934413580247,28046.349999999995,28907.483333333323,29947.399999999994,21038.53333333333,27157.233333333344,36100.56666666668,32910.850000000006,18900.216666666664,16157.333333333336,23390.2,20112.26666666666,17934.683333333334,23331.583333333336,17603.583333333332,15310.583333333336,23890.666666666668,42937.78333333333,28522.01666666667,36515.650000000016,40095.18333333334,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,CMPAK,Zong | 40683,Macro
RUR9475,RUR9475__S_Jalphanwali_Sialkot_MDSK4859,3,C4-SKT-03,Platinum,,,GLO,,,,,,,,,1768.9666666666667,,,,,,776.5,2141.833333333333,,247.91666666666666,220.83333333333331,522.5000000000001,,,,,,,,,,,,,5678.549999999999,,6,0.9342760416666667,25409.183333333334,27050.466666666664,29322.38333333333,24979.799999999996,28177.56666666666,28696.116666666665,14469.016666666668,17927.96666666667,12216.933333333332,13373.666666666666,17598.149999999998,18424.466666666664,20760.149999999998,11901.583333333334,20600.199999999997,22501.166666666664,21308.53333333333,18479.983333333337,31927.183333333323,32526.84999999999,0,0,0,0,0,0,0,0,0,0,0,0,C4-SKT-03,,,Macro
GUJ5712,GUJ35712__S_KohloWala,3,C4-GUJ-01,Elite,,B2S,Enfrashare,EC1-GUJ-02524,,,830.0833333333334,,,461.0000000000001,,,,48.500000000000014,,,,,,,1020,,,,,,,,,,,,,,,2359.5833333333335,,4,0.9726900077160494,28046.349999999995,28907.483333333323,29947.399999999994,21038.53333333333,27157.233333333344,36100.56666666668,32910.850000000006,18900.216666666664,16157.333333333336,23390.2,20112.26666666666,17934.683333333334,23331.583333333336,17603.583333333332,15310.583333333336,23890.666666666668,42937.78333333333,28522.01666666667,36515.650000000016,40095.18333333334,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
RUR5141,RUR5141__S_Tharo Mandi stop Warid_MR1B2726,4,C4-NRW-05,Elite,27,,,,140.08333333333334,230.58333333333334,,,,,,42.33333333333332,,524.5333333333334,,,,448.0333333333333,34.08333333333333,32.083333333333336,805.0999999999999,,26.833333333333332,,,,,,,,,,,,,2283.6666666666665,,9,0.9801765046296296,28046.349999999995,28907.483333333323,29947.399999999994,21038.53333333333,27157.233333333344,36100.56666666668,32910.850000000006,18900.216666666664,16157.333333333336,23390.2,20112.26666666666,17934.683333333334,23331.583333333336,17603.583333333332,15310.583333333336,23890.666666666668,42937.78333333333,28522.01666666667,36515.650000000016,40095.18333333334,0,0,0,0,0,0,0,0,0,0,0,0,C4-NRW-05,,,Macro
GUJ6093,GUJ6093__S_IftikharColony_CMPak42918,3,C4-HFZ-06,Platinum,,OMO,CMPak,CMPak42918,379.4000000000001,612.4166666666666,1476.4166666666663,68.33333333333333,497.3166666666667,434.8333333333335,141.66666666666663,408.16666666666663,82.50000000000001,113.91666666666667,29.750000000000004,191.48333333333335,231.66666666666666,215.24999999999997,320.25,514.2833333333332,1697.5833333333333,521.5833333333331,203.0166666666667,563.5166666666665,,,,,,,,,,,,8703.35,,20,0.8992667824074074,25409.183333333334,27050.466666666664,29322.38333333333,24979.799999999996,28177.56666666666,28696.116666666665,14469.016666666668,17927.96666666667,12216.933333333332,13373.666666666666,17598.149999999998,18424.466666666664,20760.149999999998,11901.583333333334,20600.199999999997,22501.166666666664,21308.53333333333,18479.983333333337,31927.183333333323,32526.84999999999,0,0,0,0,0,0,0,0,0,0,0,0,C4-HFZ-06,,,Macro
SKT1608,SKT1608__S_Pasroor Road_MDSK4183,3,C4-SKT-03,Elite,30,,,,,,,,466.41666666666674,,,185.50000000000006,,,,,205,,,,,,541.9999999999998,,,,,,,,,,,,,1398.9166666666665,,4,0.9838088348765431,28046.349999999995,28907.483333333323,29947.399999999994,21038.53333333333,27157.233333333344,36100.56666666668,32910.850000000006,18900.216666666664,16157.333333333336,23390.2,20112.26666666666,17934.683333333334,23331.583333333336,17603.583333333332,15310.583333333336,23890.666666666668,42937.78333333333,28522.01666666667,36515.650000000016,40095.18333333334,0,0,0,0,0,0,0,0,0,0,0,0,C4-SKT-03,,,Macro
HWY3950,HWY3950__SKTAwanSports,3,C4-SKT-03,Elite,30,,,,271.5833333333333,130.24999999999997,,,26.333333333333336,21.833333333333332,,,,18.5,,,,,107.49999999999999,29.45,,,,590.7500000000001,,,,,,,,,,,,1196.2,,8,0.9861550925925926,28046.349999999995,28907.483333333323,29947.399999999994,21038.53333333333,27157.233333333344,36100.56666666668,32910.850000000006,18900.216666666664,16157.333333333336,23390.2,20112.26666666666,17934.683333333334,23331.583333333336,17603.583333333332,15310.583333333336,23890.666666666668,42937.78333333333,28522.01666666667,36515.650000000016,40095.18333333334,0,0,0,0,0,0,0,0,0,0,0,0,C4-SKT-03,,,Macro
GUJ5900,GUJ5900_H_Mubarak Colony Gujranwala,3,C4-GUJ-01,Platinum,,B2S,E.co,e.coPK019561PU,,,,,,43.41666666666667,,,,,18.25,,,,,24.583333333333332,,,,,,,,,,,,,,,,86.25,,3,0.9990017361111111,25409.183333333334,27050.466666666664,29322.38333333333,24979.799999999996,28177.56666666666,28696.116666666665,14469.016666666668,17927.96666666667,12216.933333333332,13373.666666666666,17598.149999999998,18424.466666666664,20760.149999999998,11901.583333333334,20600.199999999997,22501.166666666664,21308.53333333333,18479.983333333337,31927.183333333323,32526.84999999999,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
RUR9467,RUR9467__S_MACHI_KHOKAR_MR1R3580,3,C4-SKT-03,Elite,20,,,,,,,,,,,,,,,,,,,,37.75,,,,,,,,,,,,,,,37.75,,1,0.9995630787037036,28046.349999999995,28907.483333333323,29947.399999999994,21038.53333333333,27157.233333333344,36100.56666666668,32910.850000000006,18900.216666666664,16157.333333333336,23390.2,20112.26666666666,17934.683333333334,23331.583333333336,17603.583333333332,15310.583333333336,23890.666666666668,42937.78333333333,28522.01666666667,36515.650000000016,40095.18333333334,0,0,0,0,0,0,0,0,0,0,0,0,C4-SKT-03,,,Macro
GUJ5444,GUJ5444__S_SehansraGoraya,3,C4-GUJ-01,Elite,,B2S,E.Co,e.coPK017911PU,1973.083333333333,813.7166666666667,278.25,123.08333333333333,187.83333333333331,57.06666666666668,374.40000000000003,,48.66666666666667,163.00000000000003,313.8333333333333,194.16666666666666,436.8666666666667,,168.91666666666666,350.1666666666667,159.74999999999997,121.25,82.41666666666666,137.41666666666669,,,,,,,,,,,,5983.883333333335,,18,0.9307420910493827,28046.349999999995,28907.483333333323,29947.399999999994,21038.53333333333,27157.233333333344,36100.56666666668,32910.850000000006,18900.216666666664,16157.333333333336,23390.2,20112.26666666666,17934.683333333334,23331.583333333336,17603.583333333332,15310.583333333336,23890.666666666668,42937.78333333333,28522.01666666667,36515.650000000016,40095.18333333334,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
GUJ9430,GUJ9430__S_Nusrat Colony Warid_MDGJ4642,3,C4-HFZ-06,Elite,,OMO,Ufone,3904,,,535.3833333333333,,,2773.3500000000004,4310.033333333333,2284.333333333333,,,,,,,,1816.7499999999995,2561.283333333333,,,6.833333333333333,,,,,,,,,,,,14287.966666666665,,7,0.8346300154320988,28046.349999999995,28907.483333333323,29947.399999999994,21038.53333333333,27157.233333333344,36100.56666666668,32910.850000000006,18900.216666666664,16157.333333333336,23390.2,20112.26666666666,17934.683333333334,23331.583333333336,17603.583333333332,15310.583333333336,23890.666666666668,42937.78333333333,28522.01666666667,36515.650000000016,40095.18333333334,0,0,0,0,0,0,0,0,0,0,0,0,C4-HFZ-06,Ufone,Ufone 3904,Macro
GUJ5783,GUJ5783__S_RajKot,3,C4-GUJ-02,Elite,,B2S,Enfrashare,EC1-SKT-02154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,28046.349999999995,28907.483333333323,29947.399999999994,21038.53333333333,27157.233333333344,36100.56666666668,32910.850000000006,18900.216666666664,16157.333333333336,23390.2,20112.26666666666,17934.683333333334,23331.583333333336,17603.583333333332,15310.583333333336,23890.666666666668,42937.78333333333,28522.01666666667,36515.650000000016,40095.18333333334,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-02,,,Macro
RUR6962,RUR6962__PostOffice_AC,3,C4-NRW-05,Platinum,,,GLO,,52.74999999999999,53.25,26.500000000000004,39.083333333333336,26.500000000000004,931.416666666667,536.8,225.8166666666666,52.166666666666664,13.333333333333334,65.5,,,,,,,,,,,,,,,,,,,,,2023.1166666666668,,11,0.9765842978395063,25409.183333333334,27050.466666666664,29322.38333333333,24979.799999999996,28177.56666666666,28696.116666666665,14469.016666666668,17927.96666666667,12216.933333333332,13373.666666666666,17598.149999999998,18424.466666666664,20760.149999999998,11901.583333333334,20600.199999999997,22501.166666666664,21308.53333333333,18479.983333333337,31927.183333333323,32526.84999999999,0,0,0,0,0,0,0,0,0,0,0,0,C4-NRW-05,,,Macro
SKT4630,SKT4630__AbikRoad,4,C4-SKT-03,Platinum,20,,,,,,,,,,,,,,34.333333333333336,,,,865.3333333333333,544.5833333333333,157.33333333333337,,,,,,,,,,,,,,,1601.5833333333335,,4,0.9860973668981481,25409.183333333334,27050.466666666664,29322.38333333333,24979.799999999996,28177.56666666666,28696.116666666665,14469.016666666668,17927.96666666667,12216.933333333332,13373.666666666666,17598.149999999998,18424.466666666664,20760.149999999998,11901.583333333334,20600.199999999997,22501.166666666664,21308.53333333333,18479.983333333337,31927.183333333323,32526.84999999999,0,0,0,0,0,0,0,0,0,0,0,0,C4-SKT-03,,,Macro
RUR6578,RUR6578__S_Gadgore,3,C4-NRW-05,Platinum,,B2S,Enfrashare,EC1-CHW-04967,,,,,,,,,,,,60,,,,,,44.25,645.0833333333333,,,,,,,,,,,,,749.3333333333333,,3,0.9913271604938272,25409.183333333334,27050.466666666664,29322.38333333333,24979.799999999996,28177.56666666666,28696.116666666665,14469.016666666668,17927.96666666667,12216.933333333332,13373.666666666666,17598.149999999998,18424.466666666664,20760.149999999998,11901.583333333334,20600.199999999997,22501.166666666664,21308.53333333333,18479.983333333337,31927.183333333323,32526.84999999999,0,0,0,0,0,0,0,0,0,0,0,0,C4-NRW-05,,,Macro
