MBU,Average of 4G Counterbased
C4-GUJ-01,96.77598055705948
C4-GUJ-02,97.51495304857517
C4-SKT-03,97.66270442789926
C4-GRT-04,98.40825413331852
C4-NRW-05,97.62387777742047
C4-HFZ-06,98.6406176429228
C4-WZD-07,97.45123317258219
C4-MBD-08,98.9629556244105
C4,
,
Row Labels,Average of 4G NAR
C4-GRT-04,98.40825413331852
C4-GUJ-01,96.77598055705948
C4-GUJ-02,97.51495304857517
C4-HFZ-06,98.6406176429228
C4-MBD-08,98.9629556244105
C4-NRW-05,97.62387777742047
C4-SKT-03,97.66270442789926
C4-WZD-07,97.45123317258219
Grand Total,97.8839971440649
