MBU,TDT,T-NAR,,
C4-GUJ-01,492672.7833333333,0.9733954994311964,2026-08-20 00:00:00,20
C4-GUJ-02,267374.5833333333,0.9801627356857392,2026-08-20 00:00:00,20
C4-SKT-03,336649.4166666666,0.9813865989546473,2026-08-20 00:00:00,20
C4-GRT-04,196160.3333333333,0.9889787658815774,2026-08-20 00:00:00,20
C4-NRW-05,275880.7833333333,0.9861372013520395,2026-08-20 00:00:00,20
C4-HFZ-06,186625.53333333333,0.9898907125729474,2026-08-20 00:00:00,20
C4-WZD-07,228418.63333333333,0.9801719936342593,2026-08-20 00:00:00,20
C4-MBD-08,144382.96666666667,0.9911582055490235,2026-08-20 00:00:00,20
,,,,
MBU,TDT,Cells,,
C4-GUJ-01,492672.7833333333,643,,
C4-GUJ-02,267374.5833333333,468,,
C4-SKT-03,336649.4166666666,628,,   
C4-GRT-04,196160.3333333333,618,,
C4-NRW-05,275880.7833333333,691,,
C4-HFZ-06,186625.53333333333,641,,
C4-WZD-07,228418.63333333333,400,,
C4-MBD-08,144382.96666666667,567,,
Total,2128165.033333333,4656,,
