MBU,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th,26th,27th,28th,29th,30th,31st,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th,26th,27th,28th,29th,30th,31st
C4-GUJ-01,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0.9640876461609355,0.9655693256436841,0.9635877289614654,0.9808809976383849,0.9650473763032084,0.958100519843327,0.9732746529577789,0.981147507344047,0.9906219939807615,0.9745369830366915,0.98241392344911,0.9752138053683543,0.9768063655607396,0.9937938302805138,0.9842589172570705,0.9732756069638846,0.9669866367144749,0.9687860722308623,0.9558821496457577,0.9736379492828755,1,1,1,1,1,1,1,1,1,1,1
C4-GUJ-02,14846.299999999997,31003.46666666667,20558.516666666666,19615.2,7707.916666666667,33752.68333333334,8318.1,6610.333333333332,3142.0166666666664,8051.533333333333,13827.483333333335,3290.033333333334,13103.516666666666,6643.349999999998,4315.683333333332,10832.150000000003,15418.966666666667,15505.699999999999,9902.033333333333,20929.6,0,0,0,0,0,0,0,0,0,0,0,0.9779702338556505,0.9539953308008863,0.9694941288778094,0.9708938746438747,0.9885625643004116,0.9499158901155428,0.9876571403133902,0.9901912195314974,0.9953377008151314,0.9880526867679645,0.9794820107233302,0.9951180654479266,0.9805562727524533,0.9901422275641026,0.9935961488999684,0.9839266530151947,0.9771204791864514,0.9769917794396962,0.985306811886673,0.9689434947768281,1,1,1,1,1,1,1,1,1,1,1
C4-SKT-03,25782.433333333334,17822.833333333336,20200.933333333334,15564.266666666668,23708.43333333333,15377.866666666667,11160.566666666666,19108.25,7446.716666666666,12724.5,12717.133333333331,11993.966666666669,17792.05,14854.516666666668,20335.51666666667,17934.1,22964.816666666673,12796.016666666666,15577.116666666667,20787.38333333333,0,0,0,0,0,0,0,0,0,0,0,0.9714897012856806,0.9802914528780373,0.9776617421561689,0.9827889832507667,0.9737831372375559,0.982995104977589,0.987658609046945,0.9788700349433829,0.9917653964673272,0.9859292064755839,0.9859373525595658,0.986737032613824,0.9803254931882519,0.983573827111347,0.9775129194680349,0.9801684138358104,0.9746054309683888,0.9858501231127624,0.9827747736789337,0.9770132438369898,1,1,1,1,1,1,1,1,1,1,1
C4-GRT-04,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0.9916768923049263,0.994105593761237,0.9872732942286947,0.9820998142155101,0.9864680158516121,0.9866743639877743,0.9906662958468176,0.9945565518997962,0.9954706790123456,0.9949019012944984,0.99412965959487,0.9951060020376363,0.9936189208018698,0.9938221225877981,0.9890901242059212,0.9920499595469257,0.9810731488972791,0.9869573107695073,0.9876502194953853,0.9621844472911423,1,1,1,1,1,1,1,1,1,1,1
C4-NRW-05,12042.3,9256.416666666666,9150.183333333332,3768.2999999999993,10022.033333333335,9125.966666666665,9279,21756.43333333333,16264.849999999999,6949.0999999999985,12640.583333333332,16536.98333333333,9314.383333333333,8793.55,21378.266666666666,15555.166666666666,8228.499999999996,19528.399999999998,37917.333333333336,18373.03333333333,0,0,0,0,0,0,0,0,0,0,0,0.9878976724553787,0.9906974426488717,0.9908042055260761,0.9962129160636758,0.9899280095942542,0.9908285429061477,0.9906747467438496,0.978135116846224,0.983654074208072,0.9930162606528381,0.987296406844616,0.9833805843651175,0.990639187034357,0.991162616578228,0.9785151685694378,0.9843672951171142,0.9917304831966554,0.980374256311304,0.9618936592163798,0.9815353821621912,1,1,1,1,1,1,1,1,1,1,1
C4-HFZ-06,6143.500000000001,6417.400000000001,10479.099999999999,5039.750000000001,7927.816666666666,13130.883333333335,22827.016666666666,7308.249999999999,6310.233333333334,6493.133333333334,6361.783333333335,5999.5,6822.199999999999,17467.93333333333,6873.766666666668,11521.949999999999,12186.366666666665,8628.5,8526.8,10159.649999999994,0,0,0,0,0,0,0,0,0,0,0,0.9933442754376841,0.9930475385682094,0.9886471875541689,0.9945400524354308,0.9914111883919802,0.9857743073611833,0.9752697427341538,0.9920824124631652,0.9931636404345063,0.9929654908418558,0.9931077923672502,0.9935002816779338,0.9926089876928411,0.9810756485814989,0.9925531215693073,0.9875173881955278,0.986797574680765,0.99065208441671,0.9907622638238862,0.9889932722308892,1,1,1,1,1,1,1,1,1,1,1
C4-WZD-07,9838.366666666667,9178.75,15511.7,16719.733333333337,12128.300000000001,18843.983333333337,8254.149999999998,7068.450000000001,13899.916666666668,8570.016666666666,9493.466666666664,7153.833333333332,9032.133333333333,3650.666666666668,2994.866666666667,15043.25,11506.1,12096.966666666667,12098.7,25335.283333333336,0,0,0,0,0,0,0,0,0,0,0,0.9829195023148148,0.9840646701388889,0.9730699652777779,0.9709726851851852,0.9789439236111112,0.9672847511574073,0.9856698784722222,0.9877283854166667,0.9758682002314815,0.9851214988425926,0.983518287037037,0.9875801504629629,0.984319212962963,0.993662037037037,0.9948005787037038,0.9738832465277778,0.9800241319444445,0.9789983217592593,0.9789953124999999,0.9560151331018518,1,1,1,1,1,1,1,1,1,1,1
C4-MBD-08,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0.9955965649291266,0.9940590706447188,0.993277749199817,0.9958288425109413,0.990513627604677,0.9949908958782416,0.9857396180351428,0.9959737735972304,0.9915458227186622,0.9979338746815598,0.9938997893396042,0.9963480632307793,0.9897413694558757,0.995141542556666,0.9918058413351624,0.9823378404859886,0.9804225251486054,0.9917113503494676,0.9860568333986544,0.980239115879548,1,1,1,1,1,1,1,1,1,1,1
Total ,112907.08333333334,115655.11666666667,126429.61666666664,97745.31666666668,113645.65000000001,144975.53333333335,104533.93333333333,87439.18333333332,66680.41666666667,72588.84999999999,81528.58333333333,75261.35,91594.35,66621.08333333333,86872.36666666667,117126.96666666667,133700.48333333334,115831.65,147246.21666666665,169781.28333333333,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4 NAR,0.983159858943458,0.9827499885651331,0.9811429671590619,0.9854212430993062,0.9830497014008209,0.9783768355447371,0.9844087179425989,0.9869584074113849,0.9900545865748696,0.9891733411488164,0.9878399759967226,0.9887747366003246,0.9863386624785224,0.9900634361675894,0.9870429483661067,0.9825304614913454,0.9800585142030991,0.9827236585409507,0.978038162128516,0.9746770470400599,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
