Sr. No,Site Code,Site Name,Cells,New MBU,DG Rating,OMO Host Name,Host ID,2026-08-01 00:00:00,2026-08-02 00:00:00,2026-08-03 00:00:00,2026-08-04 00:00:00,2026-08-05 00:00:00,2026-08-06 00:00:00,2026-08-07 00:00:00,2026-08-08 00:00:00,2026-08-09 00:00:00,2026-08-10 00:00:00,2026-08-11 00:00:00,2026-08-12 00:00:00,2026-08-13 00:00:00,2026-08-14 00:00:00,2026-08-15 00:00:00,2026-08-16 00:00:00,2026-08-17 00:00:00,2026-08-18 00:00:00,2026-08-19 00:00:00,2026-08-20 00:00:00,2026-08-21 00:00:00,2026-08-22 00:00:00,2026-08-23 00:00:00,2026-08-24 00:00:00,2026-08-25 00:00:00,2026-08-26 00:00:00,2026-08-27 00:00:00,2026-08-28 00:00:00,2026-08-29 00:00:00,2026-08-30 00:00:00,2026-08-31 00:00:00,Average NAR,avrg
1,HWY5602,HWY5602_H_Village Chechian PO Dittewal Teh and Chechian Gujrat,3,C4-GRT-04,,Telenor,LCQ001_TP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8485146604938272,1,1,0.6138773148148149,1,1,1,1,1,1,1,1,1,1,1,0.9731195987654321,0.9731195987654321
2,GJR1058,GJR1058__ModelTownGJR(Zong5218),3,C4-GRT-04,,CM Pak,C-GJT-5218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8679976851851852,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9933998842592592,0.9933998842592593
3,KRW8774,KRW8774__TandaKarianWalaRd,3,C4-GRT-04,9,Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,RUR0528,RUR0528__Gunja,3,C4-GRT-04,,UFONE,7929,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6895833333333333,1,1,1,1,1,1,1,1,1,1,1,0.9844791666666668,0.9844791666666667
5,GJR5415,GJR5415__S_Muslimabad_CMPak4330,3,C4-GRT-04,,CM Pak,CMPak4330,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7198958333333333,1,1,1,1,1,1,1,1,1,1,1,0.9859947916666666,0.9859947916666667
6,RUR5553,RUR5553__S_MusaKamala,3,C4-GRT-04,,E.Co,e.coPK014384PU,1,1,0.9277083333333334,0.9293402777777777,1,0.9911458333333333,0.9882523148148148,1,1,1,1,1,0.9926311728395062,1,0.9127546296296296,1,0.997337962962963,0.9939236111111112,0.9872685185185185,0.7692322530864197,1,1,1,1,1,1,1,1,1,1,1,0.9744797453703702,0.9744797453703704
7,RUR5645,RUR5645__S_QilaSuraSingh_CMPAK41244,3,C4-GRT-04,,CM Pak,41244,1,1,1,1,1,1,1,1,1,1,1,0.9959683641975309,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9997984182098765,0.9997984182098766
8,RUR1583,RUR1583__HassanPathan,3,C4-GRT-04,,CP Prime,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.668942901234568,1,0.6530015432098766,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9660972222222222,0.9660972222222222
9,KNJ4254,KNJ4254__CircularRdKunjah,3,C4-GRT-04,9,Stand by,,0.992824074074074,0.985474537037037,0.9892168209876543,0.9890625,0.8712577160493827,0.9883680555555555,1,1,1,0.9731481481481482,0.9969328703703704,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.989314236111111,0.9893142361111111
10,RUR5642,RUR5642__S_DhummaMalka,3,C4-GRT-04,,Enfrashare,EC1-GUT-02246,1,1,1,1,1,0.993287037037037,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9996643518518518,0.9996643518518519
11,GJR1059,GJR1059__Moen ud Din Pur(Telenor_LWR-001),3,C4-GRT-04,,Telenor,LWR-001,0.9181172839506173,1,0.9835648148148148,1,1,1,1,0.9851504629629629,0.9877314814814815,1,1,1,1,1,0.9621527777777777,1,0.9737268518518518,0.8845640432098766,0.9772337962962963,1,1,1,1,1,1,1,1,1,1,1,1,0.9836120756172839,0.9836120756172839
12,LLM9854,LLM9854__GtRoadLalamusa,3,C4-GRT-04,20,Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,GJR6488,GJR6488__S_TibbiMarlan,3,C4-GRT-04,,ATL,ATGRT9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,RUR0509,RUR0509__SarokiGjrat_new,3,C4-GRT-04,,UFONE,7934,1,1,0.9972029320987654,1,1,1,1,0.955516975308642,1,1,1,1,1,1,1,1,0.997800925925926,0.9542824074074074,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9952401620370372,0.9952401620370371
15,RUR5847,RUR5847_H_University Kharian Link Rd Gujrat,3,C4-GRT-04,,Enfrashare,EC1-GUT-07486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,LLM3835,LLM3835__Muhallaqasba,4,C4-GRT-04,27,Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,RUR5641,RUR5641__S_KotlaSarangKhan_CMPak7488,3,C4-GRT-04,,CM Pak,7488,0.843136574074074,0.6083719135802471,0.8568171296296296,1.1574074074371943e-05,0.9036689814814814,0.8767824074074074,0.8057523148148149,0.9250733024691358,0.8690702160493827,0.8473804012345679,0.9009760802469136,0.9178240740740741,0.9436342592592593,0.9071952160493828,0.9013117283950617,0.8278510802469136,0.6084876543209878,0.6743364197530863,0.8738040123456791,0.8667476851851852,1,1,1,1,1,1,1,1,1,1,1,0.797911651234568,0.797911651234568
18,RUR5422,RUR5422__S_SheikhPur,3,C4-GRT-04,,E.Co,e.coPK016380PU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8977469135802469,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9948873456790123,0.9948873456790124
