Sr. No,Site Code,Site Name,Cells,New MBU,DG Rating,OMO Host Name,Host ID,2026-08-01 00:00:00,2026-08-02 00:00:00,2026-08-03 00:00:00,2026-08-04 00:00:00,2026-08-05 00:00:00,2026-08-06 00:00:00,2026-08-07 00:00:00,2026-08-08 00:00:00,2026-08-09 00:00:00,2026-08-10 00:00:00,2026-08-11 00:00:00,2026-08-12 00:00:00,2026-08-13 00:00:00,2026-08-14 00:00:00,2026-08-15 00:00:00,2026-08-16 00:00:00,2026-08-17 00:00:00,2026-08-18 00:00:00,2026-08-19 00:00:00,2026-08-20 00:00:00,2026-08-21 00:00:00,2026-08-22 00:00:00,2026-08-23 00:00:00,2026-08-24 00:00:00,2026-08-25 00:00:00,2026-08-26 00:00:00,2026-08-27 00:00:00,2026-08-28 00:00:00,2026-08-29 00:00:00,2026-08-30 00:00:00,2026-08-31 00:00:00,TDT,T-Fuel,Occurrence ,Total NAR,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th,26th,27th,28th,29th,30th,31st,Fuel Total,MBU,OMO Host Name,Host ID,Type
1,HWY5602,HWY5602_H_Village Chechian PO Dittewal Teh and Chechian Gujrat,3,C4-GRT-04,,Telenor,LCQ001_TP,,,,,,,,,,,,,,,,,654.4166666666666,,,1668.0499999999995,,,,,,,,,,,,2322.4666666666662,,2,0.9731195987654321,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
2,GJR1058,GJR1058__ModelTownGJR(Zong5218),3,C4-GRT-04,,CM Pak,C-GJT-5218,,,,,,,,,,,,,,,,,570.2499999999999,,,,,,,,,,,,,,,570.2499999999999,,1,0.9933998842592593,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,CMPAK,C-GJT-5218,Macro
3,KRW8774,KRW8774__TandaKarianWalaRd,3,C4-GRT-04,9,Stand by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,,,Macro
4,RUR0528,RUR0528__Gunja,3,C4-GRT-04,,UFONE,7929,,,,,,,,,,,,,,,,,,,,1341,,,,,,,,,,,,1341,,1,0.9844791666666667,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,UFone,7929,Macro
5,GJR5415,GJR5415__S_Muslimabad_CMPak4330,3,C4-GRT-04,,CM Pak,CMPak4330,,,,,,,,,,,,,,,,,,,,1210.0500000000002,,,,,,,,,,,,1210.0500000000002,,1,0.9859947916666667,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
6,RUR5553,RUR5553__S_MusaKamala,3,C4-GRT-04,,E.Co,e.coPK014384PU,,,312.29999999999995,305.25,,38.25,50.750000000000014,,,,,,31.83333333333333,,376.89999999999986,,11.5,26.25,55,996.9166666666666,,,,,,,,,,,,2204.95,,10,0.9744797453703704,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
7,RUR5645,RUR5645__S_QilaSuraSingh_CMPAK41244,3,C4-GRT-04,,CM Pak,41244,,,,,,,,,,,,17.416666666666664,,,,,,,,,,,,,,,,,,,,17.416666666666664,,1,0.9997984182098766,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
8,RUR1583,RUR1583__HassanPathan,3,C4-GRT-04,,CP Prime,,,,,,,,,,,,,,,,1430.1666666666665,,1499.0333333333335,,,,,,,,,,,,,,,2929.2,,2,0.9660972222222222,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,,,Macro
9,KNJ4254,KNJ4254__CircularRdKunjah,3,C4-GRT-04,9,Stand by,,30.999999999999996,62.75,46.58333333333333,47.24999999999999,556.1666666666667,50.25,,,,115.99999999999997,13.25,,,,,,,,,,,,,,,,,,,,,923.25,,8,0.9893142361111111,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,,,Macro
10,RUR5642,RUR5642__S_DhummaMalka,3,C4-GRT-04,,Enfrashare,EC1-GUT-02246,,,,,,28.999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,28.999999999999996,,1,0.9996643518518519,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
